品牌,型号,CADR 灰尘(m3/h),CADR 烟(m3/h),CADR 花粉(m3/h),颜色,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),高度(mm),宽度(mm),深度(mm),重量(kg),材料,产地,空气质量显示,滤网寿命,滤网更换提醒,支持遥控,支持定时,风档,最大风量,数据来源,,,,,
cado,AP-C700,400,450,450,不锈钢拉丝,25,170,30,58,714,423,297,18,,,,,,,TRUE,3,768,http://cadostore.com/view.asp?id=5,,,,,
cado,AP-C500 ,,,,"黑色,白色",25,155,30,58,714,423,297,17.5,,,,,,,TRUE,3,510,http://cadostore.com/view.asp?id=6,,,,,
cado,AP-C300 ,,,,"金色,白色",20,80,30,58,580,350,230,9.7,,,,,,,TRUE,3,360,http://cadostore.com/view.asp?id=7,,,,,
cado,AP-C100 ,,,,"黑色,银色,香槟色,粉红,粉蓝",5.3,30,30,61,308,242,242,3.5,,,,,,,TRUE,3,120,http://cadostore.com/view.asp?id=8,,,,,
Coway,AP-1013A,,,,,,45,,,505,455,170,6.4,,,,,,,TRUE,,306,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=0&prod_id=53,,,,,
Coway,APM-0812DH,,,,,,26,,,505,370,240,8,,,,,,,TRUE,,216,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=0&prod_id=50,,,,,
Coway,AP-1511FHE,234,227,256,,,72,,49,565,476,292,12,,,,,,,TRUE,,426,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=49,,,,,
Coway,AP-1012GH,176,165,162,,,88,30,50.6,628,350,219,7.6,,,,,TRUE,,TRUE,3,336,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=48,,,,,
Coway,APM-1510FH,237,219,271,,,90,,48,708,460,340,15,,,,,,,TRUE,4,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=100&prod_id=46,,,,,
Coway,AP-2510EH,,,,,,90,,,390,980,186,11,,,,,,TRUE,TRUE,,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=100&prod_id=45,,,,,
Coway,AP-0509DH,112,91,109,,,43,,,573,312,197,5,,,,,TRUE,,TRUE,3,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=0&prod_id=36,,,,,
Coway,AP-1005AH,,,,,,47,,,510,544,181,8.8,,,,,,,TRUE,,348,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=34,,,,,
Coway,AP-1009CH,182,155,203,,15,35,,,656,344,210,7,,,,,,,TRUE,3,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=50&prod_id=33,,,,,
Coway,AP-3008FH,,,,,,106,,,956,660,420,25,,,,,,,TRUE,,,http://coway-china.com/products/productsview.aspx?type=AIR_PRF&subtype=100&prod_id=3,,,,,
瑞士风,P355,275,,,,,57,,25,399,416,241,5.4,,嘉兴,TRUE,,TRUE,,TRUE,,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=56,,,,,
瑞士风,P325,120,,,,,24,,25,360,292,201,4,,嘉兴,TRUE,,TRUE,,TRUE,,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=54,,,,,
瑞士风,P380 ,306,,,,,86,44,54,472,559,241,7.7,,台湾,,,TRUE,,TRUE,3,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=36,,,,,
瑞士风,P350 ,203,,,,,61,42,51,405,432,195,5,,台湾,,,TRUE,,TRUE,3,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=35,,,,,
瑞士风,P320 ,103,,,,,52,41,50,366,308,188,3.7,,台湾,,,TRUE,,TRUE,3,,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=33,,,,,
瑞士风,AOS2061,,,,,20,42,26,43,600,460,330,7.7,,捷克,,,,,TRUE,3,220,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=9,,,,,
瑞士风,AOS2071,,,,,20,42,28,43,600,550,330,9.3,,捷克,,,,,TRUE,3,190,http://airoswiss.cn/ProductShow.asp?ClassID=3&ID=8,,,,,
TCL,TKJ-F330A,,,,陨石黑、香槟金,,65,,65,645,338,195,9.2,,,TRUE,,TRUE,TRUE,TRUE,4,330,http://shop.tcl.com/ProductDetail/index/id/5237.html#detail_main,,,,,
TCL,TKJ-F280B,,,,荷花白,,56,22,46,698,395,240,6.8,,,TRUE,,TRUE,TRUE,TRUE,3,280,http://shop.tcl.com/ProductDetail/index/id/3538.html#detail_main,,,,,
TCL,TKJ-F300B,,,,荷花白,,60,,45,645,338,195,9.2,,,TRUE,,TRUE,TRUE,TRUE,4,300,http://shop.tcl.com/ProductDetail/index/id/5337.html#detail_main,,,,,
TCL,TCL-360,330,,,白,,65,28,56,650,340,195,8.2,,,TRUE,,TRUE,TRUE,TRUE,4,,http://shop.tcl.com/ProductDetail/index/id/5840.html#detail_main,,,,,
TCL,TKJ-F270B,250,,,白,,52,28,52,655,454,297,毛7.7,,,TRUE,,TRUE,,TRUE,3,270,http://shop.tcl.com/ProductDetail/index/id/6297.html,,,,,
TCL,TKJ-F220B,,,,土豪金,,45,,35,525,322,180,5.5,,,TRUE,,TRUE,,TRUE,4,220,http://shop.tcl.com/ProductDetail/index/id/5298.html#detail_main,,,,,
TCL,TKJ-F230B,,,,白,,50,,35,480,350,160,4.8,,,,,,TRUE,TRUE,4,230,http://shop.tcl.com/ProductDetail/index/id/4881.html#detail_main,,,,,
TCL,TKJ-F210B,,,,荷花白,,45,,35,525,322,180,5.5,,,TRUE,,TRUE,,TRUE,4,220,http://shop.tcl.com/ProductDetail/index/id/5338.html#detail_main,,,,,
SKG,4204,253,,,咖啡色,,53,,35,480,350,160,5,新型ABS,,,,,TRUE,TRUE,4,,http://www.skg.com/4204.html,,,,,
SKG,4218,250,,,粉,,95,20,40,430,450,198,7.8,,,TRUE,,,TRUE,TRUE,4,250,http://www.skg.com/product-2198.html,,,,,
SKG,4875,425,,,香槟色,,65,20,65,525,450,250,6.5,HIPS,,TRUE,,,TRUE,TRUE,6,425,http://www.skg.com/1020100100.html,,,,,
SKG,4212,253,,,香槟金,,40,25,,630,360,195,6.9,新型ABS,,TRUE,,TRUE,TRUE,TRUE,5,,http://www.skg.com/4212.html     ,,,,,
SKG,4878,320,,,香槟金,,58,15,45,612,353,202,7.5,,,TRUE,,,TRUE,TRUE,4,,http://www.skg.com/1020100102.html,,,,,
SKG,4260,,,,香槟金,,52,,60,595,336,295,7.9,,,TRUE,,TRUE,TRUE,TRUE,3,260,http://www.skg.com/4260.html#detail,,,,,
SKG,4240,180,,,香槟金,,25,,20,430,230,290,5.7,ABS,,,,,,TRUE,3,180,http://www.skg.com/product-2199.html,,,,,
SKG,4241,,,,香槟色,,14,18,,1329.5/1013.5/680.5,214,花瓶形状,3.5,新型ABS,,,,,,TRUE,3,80,http://www.skg.com/4241.html,,,,,
SKG,4210,,,,咖啡色,,45,26,35,615,337,195,6.5,ABS,,TRUE,,TRUE,,TRUE,4,,http://www.skg.com/4210.html,,,,,
SKG,4207 ,,,,香槟金,,45,,35,650,336,186,8.3,,,TRUE,,TRUE,TRUE,TRUE,4,,http://www.skg.com/4207.html,,,,,
SKG,4208,270,,,香槟金,,45,20,,,,,6.5,ABS,,TRUE,,TRUE,,TRUE,4,,http://www.skg.com/1020100002.html     ,,,,,
SKG,4220,,,,紫罗兰,,60,25,40,480,210,192,5,ABS,,,,,,TRUE,3,170,http://www.skg.com/4220.html,,,,,
SKG,4889,350,,,白,,52,25,56,575,350,205,6.1,ABS,,TRUE,,TRUE,TRUE,TRUE,6,,http://www.skg.com/product-2588.html,,,,,
SKG,4887,350,,,白,,52,25,53,575,350,205,6.1,ABS,,TRUE,,,,TRUE,6,,http://www.skg.com/1020100108.html,,,,,
SKG,4202,253,,,紫罗兰,,45,,45,523,321,217,4.5,ABS,,,,TRUE,,TRUE,4,,http://www.skg.com/4202.html,,,,,
SKG,4242,,,,白、银,,36,,22,380,280,200,3.1,新型ABS,,,,,,TRUE,3,250,http://www.skg.com/4242.html,,,,,
远大,TB800,800,,,白、酒红、法拉利黄、紫藤,15,50,,,1500,250,170,,,,,,,,TRUE,,,http://www.bj-broad.com/product-82.html,,,,,
远大,TA1000,1000,,,白、酒红、法拉利黄、紫藤,20,60,,50,848,320,230,,钢,,,,,,TRUE,,,http://www.bj-broad.com/product-81.html,,,,,
远大,TB400,400,,,白、酒红、法拉利黄、紫藤,10,35,,45,750,250,170,,钢,,,,,,TRUE,,,http://www.bj-broad.com/product-83.html,,,,,
远大,TA400,400,,,白、酒红、法拉利黄、紫藤,12,40,,45,750,230,150,,钢,,,,,,TRUE,,,http://www.bj-broad.com/product-80.html,,,,,
远大,TB240,240,,,白、酒红、法拉利黄、紫藤,8,25,,41,500,250,170,,钢,,,,,,TRUE,,,http://www.bj-broad.com/product-84.html,,,,,
远大,TA240,240,,,白、酒红、法拉利黄、紫藤,10,30,,41,500,230,150,,钢,,,,,,TRUE,,,http://www.bj-broad.com/product-132.html,,,,,
远大,TB100,100,,,白、酒红、法拉利黄、紫藤,5,15,,39,240,250,170,,钢,,,,,,TRUE,,,http://www.bj-broad.com/product-85.html,,,,,
远大,TA100,100,,,白、酒红、法拉利黄、紫藤,6,20,,39,240,230,150,,钢,,,,,,TRUE,,,http://www.bj-broad.com/product-113.html,,,,,
TOSHIBA,CAF-G50C,295,,,淡雅粉,,55,,,623,355,195,,,,,,,,TRUE,,,http://www.ths-toshiba.com.cn/product_show.ths?id=187&class_name=%BE%BB%D0%C2%CF%B5%C1%D0&class=%BF%D5%C6%F8%BE%BB%BB%AF%C6%F7&product_name=CAF-G50C,,,,,
TOSHIBA,CAF-KP50XC,252,,,香槟金,,47,,52,510,430,243,10.6,,,TRUE,,,,TRUE,,,http://www.ths-toshiba.com.cn/product_show.ths?id=184&class_name=%C8%F3%D1%C5%CF%B5%C1%D0&class=%BF%D5%C6%F8%BE%BB%BB%AF%C6%F7&product_name=CAF-KP50XC,,,,,
TOSHIBA,CAF-KP40XC,192,,,钛银,,40,,49,510,430,190,9.4,,,TRUE,,,,TRUE,,,http://www.ths-toshiba.com.cn/product_show.ths?id=185&class_name=%C8%F3%D1%C5%CF%B5%C1%D0&class=%BF%D5%C6%F8%BE%BB%BB%AF%C6%F7&product_name=CAF-KP40XC,,,,,
TOSHIBA,CAF-P35C,150,,,尊尚红,,41,,49,397,370,152,4.8,,,TRUE,,,,TRUE,,,http://www.ths-toshiba.com.cn/product_show.ths?id=186&class_name=%C8%F3%D1%C5%CF%B5%C1%D0&class=%BF%D5%C6%F8%BE%BB%BB%AF%C6%F7&product_name=CAF-P35C,,,,,
汇清,HQ-GJ01,,,,白、香槟金,,80,,,640,300,185,8.1,,,,,,,TRUE,,,http://www.sz-huiqing.com/cn/ProductDef.aspx?id=2,,,,,
汇清,HQ-GJ02,,,,白、香槟金,35,45,,,455,300,185,5.75,,,,,,,TRUE,3,,http://www.sz-huiqing.com/cn/ProductDef.aspx?id=1,,,,,
奥司汀,HM-400,233,,,灰色,38,82,50,66,580,370,370,21.3,,,,,,,TRUE,3,680,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.69.dapymq&id=17926051872&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,HM-450,233,,,灰色,38,82,50,66,580,370,370,21,,,,,,,TRUE,3,680,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.30.dapymq&id=21062056212&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,HM410,233,,,灰色,38,82,50,66,580,370,370,21,,,,,,,TRUE,3,680,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.57.dapymq&id=21062332525&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,HM-205,233,,,灰色,28,106,50,66,420,280,280,7,,,,,,,TRUE,3,340,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.102.dapymq&id=21062496806&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,健康宝宝型,,,,,,80,50,66,410,280,280,5.5,,,,,,,TRUE,3,340,http://product.it168.com/detail/doc/473097/detail.shtml,,,,,
奥司汀,HM-200,233,,,灰色,28,106,50,66,410,280,280,10,,,,,,,TRUE,3,340,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.135.dapymq&id=21062568136&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,HM-250,233,,,灰色,28,106,50,66,420,280,280,10,,,,,,,TRUE,3,340,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.74.dapymq&id=35359065499&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=865791572&is_b=1,,,,,
奥司汀,HM-405,233,,,灰色,38,82,50,66,580,370,370,14,,,,,,,TRUE,3,680,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.63.dapymq&id=21062400623&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,HM402,233,,,灰色,38,82,50,66,580,370,370,21,,,,,,,TRUE,3,680,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.dapymq&id=17926695913&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,HM230,233,,,砂岩色,28,106,,,415,280,280,9.5,,,,,,,TRUE,,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.141.dapymq&id=20115282175&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
奥司汀,HM280,233,,,砂岩色,28,106,,,415,280,280,9.5,,,,,,,TRUE,,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.124.dapymq&id=36714751314&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1720911531&is_b=1,,,,,
奥司汀,HM482,233,,,砂岩色,38,82,,,580,370,370,20,,,,,,,TRUE,,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.8.dapymq&id=36778608853&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=865791572&is_b=1,,,,,
奥司汀,HM430,,,,砂岩色,38,82,,,580,370,370,20,,,,,,,TRUE,,,http://product.it168.com/detail/doc/614557/detail.shtml,,,,,
奥司汀,HM480,233,,,砂岩色,38,82,,,580,370,370,20,,,,,,,TRUE,,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.36.dapymq&id=20115554910&areaId=211200&cat_id=2&rn=9bef0cf6c29aed1e4d823965e9d3a972&user_id=1078324613&is_b=1,,,,,
贝昂,KJF280B,225,,,白,,,10,20,620,330,330,9.5,PC,,TRUE,,,,,3,,http://item.jd.com/1025359128.html,,,,,
贝昂,KJF280C,225,,,金,,,,15,620,330,330,9.5,ABS,,TRUE,,,TRUE,,3,,http://item.jd.com/1049042427.html,,,,,
贝昂,aura100,,,,金、白,10,15,10,20,100,380,210,2.5,PC,,,,,,,,,http://item.jd.com/1079733753.html,,,,,
莱克,KJ702,316,,,香槟金,,75,,,700,430,250,,,,,,,,TRUE,,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.2.gJDL00&id=40086263454&areaId=211200&cat_id=50916013&rn=c047ad595daabba9e5a2eb9ee7f1a01d&user_id=2145552439&is_b=1,,,,,
莱克,KJ501,179,,,香槟金,,40,,,587,378,218,,,,TRUE,,TRUE,,TRUE,6,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.175.gJDL00&id=39538983842&areaId=211200&cat_id=50916013&rn=c047ad595daabba9e5a2eb9ee7f1a01d&user_id=2058812768&is_b=1,,,,,
莱克,KJ502,190,,,深咖啡,,40,20,,550,348,211,,,,TRUE,,TRUE,,TRUE,6,200,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.297.gJDL00&id=38846635509&areaId=211200&cat_id=50916013&rn=c047ad595daabba9e5a2eb9ee7f1a01d&user_id=2072301965&is_b=1,,,,,
莱克,KJ701-1,289,,,白、蓝,,45,20,,688,411,233,,,,TRUE,,TRUE,,TRUE,6,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.226.gJDL00&id=37252767685&areaId=211200&cat_id=50916013&rn=c047ad595daabba9e5a2eb9ee7f1a01d&user_id=1973353526&is_b=1,,,,,
莱克,KJ701-3,289,,,白、棕,,45,,,688,411,233,,,,TRUE,,TRUE,,TRUE,6,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.78.gJDL00&id=37272288285&areaId=211200&cat_id=50916013&rn=c047ad595daabba9e5a2eb9ee7f1a01d&user_id=1973353526&is_b=1,,,,,
莱克,KJ601,407,,,深灰,,60,,,475,396,360,,,,TRUE,,TRUE,,TRUE,3,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.2.aRifW6&id=39979201528&areaId=211200&cat_id=2&rn=dc9606491cb8ee10b91e39ec3bca9f8a&user_id=2058812768&is_b=1,,,,,
莱克,KJ302,209,,,绿、红,,35,,,533,346,188,,,,TRUE,,TRUE,,TRUE,6,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.8.FaKsoC&id=37434723862&areaId=211200&cat_id=50916013&rn=95811bba59628269a14c5f49f5c37d0f&user_id=1973353526&is_b=1,,,,,
艾美特, AC23,355,,,红、白,,50,,61,610,400,295,11.5,,,TRUE,,,,TRUE,4,,http://www.airmate-china.com/products/detail.aspx?NC=101003003001&ID=100000002985962,,,,,
艾美特,AC24,274,,,白,,65,,61,660,390,230,7.17,,,TRUE,,TRUE,,TRUE,4,,http://www.airmate-china.com/products/pdetail.aspx?NC=101003003001&ID=100000002995328,,,,,
艾美特,AC28RS,255,,,白、棕,,60,,56,755,325,325,7.05,,,,,,TRUE,TRUE,4,,http://www.airmate-china.com/products/pdetail.aspx?NC=101003003001&ID=100000002934524,,,,,
艾美特,AC27,191,,,白、粉、蓝,,50,,54,430,404,153,3.8,,,TRUE,,,,TRUE,4,,http://www.airmate-china.com/products/pdetail.aspx?NC=101003003001&ID=100000002944516,,,,,
艾美特,AC17,,,,银灰,,50,,52,450,400,130,4.5,,,,,,TRUE,TRUE,4,,http://item.jd.com/977710.html#product-detail,,,,,
艾美特,AC45,195,,,黑、白,,,,,,,,,,,,,TRUE,TRUE,TRUE,4,,http://www.airmate-china.com/products/pdetail.aspx?NC=101003003001&ID=100000224866541,,,,,
艾美特,AC34,195,,,白、黑,,,,,,,,,,,TRUE,,TRUE,,TRUE,4,,http://www.airmate-china.com/products/detail.aspx?NC=101003003001&ID=100000002929679,,,,,
艾美特,AC19,103,,,绿,,45,,61,307,282,220,2.15,,,,,,,TRUE,3,,http://item.jd.com/977428.html,,,,,
艾美特,AC46,220,,,白、黑,,50,,,430,400,150,4.5,,,TRUE,,,,TRUE,4,,http://www.airmate-china.com/products/pdetail.aspx?NC=101003003001&ID=100000146419691,,,,,
美菱,KJ-512,,,,白,,58,,,698,493,194,10,,,TRUE,,TRUE,TRUE,TRUE,3,500,http://item.jd.com/1075275700.html,,,,,
美菱,KJ-783,,,,白,,57,,45,610,340,225,7.5,,,TRUE,,,TRUE,TRUE,4,,http://item.jd.com/1017286597.html,,,,,
美菱,KJ-323,,,,青花瓷,,5,,25,247,120,120,0.5,ABS,,,,,,TRUE,,20,http://item.jd.com/1022806050.html,,,,,
美菱,KJ-626,,,,白,,13,,38,245,303,111,2.3,,,,,,,TRUE,3,180,http://item.jd.com/1017295972.html,,,,,
奔腾,PW8009,495,,,瓷白亚光,,70,,65,664,418,328,18,,,TRUE,,TRUE,TRUE,TRUE,4,,http://item.jd.com/1134574.html,,,,,
奔腾,PW8001,198,,,白,,47,,60,,,,4.75,,,,,TRUE,,TRUE,4,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.56.HUc3d4&id=39011793870&areaId=211200&cat_id=50916013&rn=730d8699d3efcd818323e5d3755863fe&user_id=906980071&is_b=1,,,,,
三菱重工,SPS-361AC,216,,,白、粉,22,54,30,,430,405,134,4.3,,,TRUE,,,,TRUE,4,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.QCUtrr&id=37403494561&areaId=211200&cat_id=2&rn=7d4feefca10139d819140e6961367c5f&user_id=1978687744&is_b=1,,,,,
三菱重工,SPA-582AC,360,,,白,8,67,27,,570,460,232,7.9,,,TRUE,,TRUE,TRUE,TRUE,4,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.QCUtrr&id=37422304742&areaId=211200&cat_id=2&rn=7d4feefca10139d819140e6961367c5f&user_id=1978687744&is_b=1,,,,,
三菱重工,SPA-421AC,252,,,白,8,36,18,,570,460,232,7.9,,,TRUE,,TRUE,TRUE,TRUE,4,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.15.QCUtrr&id=37399967145&areaId=211200&cat_id=2&rn=7d4feefca10139d819140e6961367c5f&user_id=1978687744&is_b=1,,,,,
三菱重工,SPS-511AC,306,,,白、金,6,53,27,,600,340,180,6.2,,,TRUE,,,,TRUE,4,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.27.QCUtrr&id=37402315273&areaId=211200&cat_id=2&rn=7d4feefca10139d819140e6961367c5f&user_id=1978687744&is_b=1,,,,,
TCL,TCJ-F25A,,,,黑,,3,,40,48,190,130,0.56,,,TRUE,,,,,,,http://shop.tcl.com/ProductDetail/index/id/5238.html#detail_main,,,,,
TCL,TCJ-F16A,,,,红,,2.5,,5,38,130,130,0.28,,,,,,,,,,http://shop.tcl.com/ProductDetail/index/id/3537.html#detail_main,,,,,
SKG,4219,,,,黑,,3.5,,35,70,280,182,0.8,,,,,,,,,,http://item.jd.com/1075331862.html,,,,,
SKG,4245,,,,黑,,4,,20,48,190,140,0.45,,,TRUE,,,,,,,http://www.skg.com/4245.html,,,,,
SKG,4248,,,,咖啡,,6,,45,48,190,130,0.6,,,,,TRUE,,,,30,http://www.skg.com/4248.html,,,,,
SKG,4246,,,,金,,7,,10,42,190,135,0.42,,,,,,,,,15,http://www.skg.com/product-2202.html,,,,,
SKG,4229,,,,香槟,,3,,35,38,130,130,0.3,,,,,,,,,,http://www.skg.com/4229.html,,,,,
莱克,KJ101,,,,酒红,,12,,,219,168,81,0.9,,,,,TRUE,,,2,,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.157.FaKsoC&id=38879136149&areaId=211200&cat_id=50916013&rn=95811bba59628269a14c5f49f5c37d0f&user_id=2072301965&is_b=1,,,,,
贝昂,AURA-10U,,,,黑、白,,5,,15,70,215,163,0.75,,,,,,,,,,http://item.jd.com/1024297346.html,,,,,
爱普乐,AP 420,420,,,白,,65,30,63,668,235,450,11.5,,东莞,有,,有,有,有,5,,http://www.hezonet.com/html/productAP420.jsp,,,,,
爱普乐,AP 450,450,,,白,,65,30,63,668,235,450,11.5,,东莞,有,,有,有,有,5,,http://www.hezonet.com/html/product450.jsp,,,,,
爱普乐,AP 420A,420,,,白,,65,30,63,668,235,450,11.5,,东莞,有,,有,有,有,5,,http://www.hezonet.com/html/product420a.jsp,,,,,
爱普乐,AP 450A,450,,,白,,65,30,63,668,235,450,11.5,,东莞,有,,有,有,有,5,,http://www.hezonet.com/html/product450anew.jsp,,,,,
爱普乐,AP 200,200,,,白,,45,40,58,594,343,198,6.4,,东莞,无,,有,无,有,3,,http://www.hezonet.com/html/product200.jsp,,,,,
爱普乐,AP 045,45,,,白/黑,,8,35,55,260,160,160,1.6,,东莞,无,,无,无,无,2,,http://www.hezonet.com/html/product045.jsp,,,,,
爱普乐,AP 010,11,,,白,,5,,50,60,200,142,0.6,,东莞,无,,无,无,无,2,,http://www.hezonet.com/html/product010.jsp,,,,,
龙禹,FKJ1000,1000,,,白,,90,,48,720,500,380,35,,,,,,,,,,http://www.longyuair.com/col.jsp?id=106,,,,,
爱国者,AP 501,320,,,红、白、绿、银、黑,10,50,,50,625,430,260,17,,,,,,,有,,,http://www.amazon.cn/dp/B00L4259EU,,,,,
爱国者,AP 601,420,,,红、白、绿、银、黑,10,50,,50,625,430,260,17,,,,,,,有,,,http://www.amazon.cn/dp/B00L3Z43UY,,,,,
